LISTING ID,Type,ADDRESS,City,STATE,ZIP,ListPrice,BEDS,BATHS,LOCATION,SQFT,ImputedSQFT,LOTSIZE,YEARBUILT,ParkSpots,HasGarage,DOM,RECENT_REDUCTION_DATE,BeenReduced,OrigList,LAST_SALE_DATE,SoldPrev,LastPrice,ORIGINAL SOURCE,LATITUDE,LONGITUDE,Test
9188833,Condo/Coop,801 E Miner St E Unit 3D,Arlington Heights,IL,60004,139900,2,1,Arlington Heights,900,900,,1965,1,None,35,05/11/2016,Yes,147900,12/17/2015,Yes,92000,Realty Network Inc.,42.084058,-87.972946,0
9188931,Single Family Residential,502 E Burr Oak Dr,Arlington Heights,IL,60004,339000,3,2.5,Arlington Heights,1609,1609,8751,1970,4,Garage,35,05/09/2016,Yes,359900,11/21/2000,Yes,287000,Berkshire Hathaway,42.128687,-87.976605,0
9188950,Single Family Residential,221 E Kerry-Brook Ln,Arlington Heights,IL,60004,679000,4,5.5,Arlington Heights,4200,4200,,1993,3,Garage,35,,No,679000,02/23/2000,Yes,480000,RE/MAX,42.125824,-87.978812,1
9189076,Single Family Residential,1124 S salem Ln,Arlington Heights,IL,60005,499000,4,3.5,Arlington Heights,2501,2501,,1973,2,Garage,35,04/29/2016,Yes,525000,12/03/2007,Yes,515000,RE/MAX,42.063191,-87.992271,0
9189367,Condo/Coop,1949 N Charter Point Dr,Arlington Heights,IL,60004,224900,3,2,Arlington Heights,1650,1650,,1987,1,Garage,35,04/14/2016,Yes,229900,05/09/2006,Yes,294000,Coldwell Banker,42.1109628,-87.9508875,0
9189800,Single Family Residential,1136 S Salem Ln,Arlington Heights,IL,60005,579000,4,3.5,Arlington Heights,3027,3027,10471,1976,2,Garage,35,04/23/2016,Yes,595000,,No,,RE/MAX,42.062769,-87.992243,0
9190438,Townhouse,416 N Kennicott Ave,Arlington Heights,IL,60005,188000,2,1.5,Arlington Heights,1152,1152,,1978,2,None,33,04/29/2016,Yes,194900,05/18/2004,Yes,185000,d'aprile properties,42.087204,-87.9956,1
9190965,Single Family Residential,320 S Donald Ave,Arlington Heights,IL,60004,345000,3,2,Arlington Heights,1278,1278,,1965,2,Garage,32,05/12/2016,Yes,365000,,No,,Berkshire Hathaway,42.078367,-87.9554,0
9191083,Single Family Residential,410 S Belmont Ave,Arlington Heights,IL,60005,525000,3,3,Arlington Heights,2110,2110,,1966,1,Garage,32,05/02/2016,Yes,549900,10/23/2003,Yes,436000,@properties,42.076949,-87.978471,0
9191207,Single Family Residential,405 N Dryden Pl,Arlington Heights,IL,60004,309000,3,2,Arlington Heights,1328,1328,8319,1951,1,Garage,32,04/26/2016,Yes,319000,12/19/2014,Yes,237500,Real People Realty Inc,42.08676,-87.970373,1
9191331,Condo/Coop,505 S Cleveland Ave #302,Arlington Heights,IL,60005,141500,2,2,Arlington Heights,,1382,,1972,1,None,32,,No,141500,07/02/2007,Yes,164500,@properties,42.074974,-87.967517,1
24063613,Single Family Residential,505 S Banbury Rd,Arlington Heights,IL,60005,1084000,5,3.5,Arlington Heights,4500,4500,,1938,3,Garage,32,,No,1084000,,No,,ForSaleByOwner.com,42.075301,-87.97454,0
9192072,Single Family Residential,1217 W Kelly St,Arlington Heights,IL,60004,599000,4,2.5,Arlington Heights,2773,2773,8398,1998,2,Garage,31,04/21/2016,Yes,639000,,No,,Elite Group Realty & Investment Inc,42.121718,-87.997894,1
9192219,Condo/Coop,1107 E ALGONQUIN Rd #16,Arlington Heights,IL,60005,119900,2,1,Arlington Heights,,1067,,1967,2,None,31,,No,119900,10/08/2010,Yes,35000,Netgar Investments Inc,42.037705,-87.968176,0
9193253,Single Family Residential,3143 N Carriageway Dr,Arlington Heights,IL,60004,437000,4,3.5,Arlington Heights,2447,2447,8751,1977,2,Garage,30,05/11/2016,Yes,459000,12/22/1998,Yes,253001,"Express Real Estate Group, Inc.",42.13347,-87.970919,0
9193950,Single Family Residential,319 E Orchard St,Arlington Heights,IL,60005,699000,3,2,Arlington Heights,,1629,24593,1948,2,Garage,30,,No,699000,,No,,Baird & Warner,42.067536,-87.978904,0
9194025,Single Family Residential,1008 N Illinois Ave,Arlington Heights,IL,60004,739900,4,3.5,Arlington Heights,3000,3000,6398,2016,2,Garage,30,05/09/2016,Yes,749900,03/06/2015,Yes,180000,Domain Realty,42.094726,-88.001388,0
9194300,Single Family Residential,3338 N Ellen Dr,Arlington Heights,IL,60004,309900,3,1.5,Arlington Heights,1811,1811,,1987,2,Garage,30,,No,309900,,No,,RE/MAX,42.137287,-87.963212,0
9194398,Single Family Residential,807 E Hintz Rd,Arlington Heights,IL,60004,719900,5,3.5,Arlington Heights,4045,4045,8812,2006,2,Garage,29,,No,719900,11/21/2005,Yes,711500,Coldwell Banker,42.124206,-87.972383,0
9194790,Single Family Residential,1627 S Ridge Dr,Arlington Heights,IL,60005,560000,4,3,Arlington Heights,3668,3668,17389,1969,2,Garage,29,,No,560000,07/30/2004,Yes,471500,Coldwell Banker,42.053764,-87.98987,1
9194893,Single Family Residential,2810 N HARVARD Ave,Arlington Heights,IL,60004,479000,4,2,Arlington Heights,2310,2310,10288,1972,2,Garage,29,,No,479000,,No,,Coldwell Banker,42.127272,-87.997226,1
9195295,Single Family Residential,4136 N Walnut Ave,Arlington Heights,IL,60004,439000,5,2.5,Arlington Heights,2409,2409,10062,1985,3,Garage,29,05/05/2016,Yes,449000,,No,,RE/MAX,42.151668,-87.990235,0
9195353,Single Family Residential,3136 N WALKER Ln E,Arlington Heights,IL,60004,339000,3,2,Arlington Heights,1360,1360,,1969,2,Garage,29,05/04/2016,Yes,349000,03/15/2012,Yes,232500,Berkshire Hathaway,42.133498,-87.968237,0
9195362,Single Family Residential,408 E Oakton St,Arlington Heights,IL,60004,347500,3,2,Arlington Heights,1275,1275,8633,1956,2,Garage,29,05/10/2016,Yes,360000,03/17/2015,Yes,325000,Coldwell Banker,42.095798,-87.977372,1
9195474,Single Family Residential,905 N Hickory Ave,Arlington Heights,IL,60004,799500,4,3.5,Arlington Heights,3100,3100,7087,2016,2,Garage,29,,No,799500,,No,,"The Stonefield Group, Inc.",42.093972,-87.973996,0
