Station ID                RECORD PERIOD   JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC    YEAR
FORT LEWIS                | 1948-2010 |  21.1  15.1  11.4   5.2   0.5   0.0   0.0   0.0   0.0   1.4   8.0  16.1    78.8
FORT MORGAN               | 1948-2010 |   4.2   2.4   4.7   2.2   0.3   0.0   0.0   0.0   0.1   1.0   2.9   4.1    21.9
FOUNTAIN                  | 1948-1997 |   3.3   3.0   5.0   2.4   0.1   0.0   0.0   0.0   0.6   0.8   2.0   3.5    20.7
FOUNTAIN 6 NNE            | 1948-1959 |   2.6   2.6   3.7   5.8   0.7   0.0   0.0   0.0   3.1   2.0   2.7   1.8    25.0
FOWLER 1 SE               | 1948-2010 |   4.0   2.9   3.7   1.3   0.3   0.0   0.0   0.0   0.0   0.7   2.8   4.2    19.9
FRASER                    | 1989-2010 |  25.8  23.1  20.4  16.4   2.8   0.3   0.0   0.0   1.1   8.1  18.5  25.3   141.8
FRUITA 1 W                | 1948-2010 |   4.9   2.1   1.2   0.2   0.0   0.0   0.0   0.0   0.0   0.1   1.3   3.6    13.4
GARDNER                   | 1948-1971 |   4.8   6.3   7.6   7.3   1.6   0.0   0.0   0.0   0.0   3.4   3.6   5.4    40.0
GATEWAY 1 SE              | 1948-2010 |   5.4   1.8   2.2   0.7   0.0   0.0   0.0   0.0   0.0   0.0   1.0   4.4    15.5
GENOA                     | 1948-2010 |   4.0   2.9   6.8   4.9   1.1   0.0   0.0   0.0   0.5   2.6   4.7   3.3    30.8
GEORGETOWN                | 1948-2010 |  10.4   9.4  16.4  17.5   6.1   0.8   0.0   0.0   1.9   6.8  10.9  10.9    91.1
GLADE PARK 17 W           | 1999-2010 |  11.4  11.2  11.7   5.3   1.0   0.0   0.0   0.0   0.0   1.2   7.7  12.4    61.9
GLENDEVEY                 | 1949-1958 |  19.5  18.8  21.1  18.6   4.2   1.6   0.0   0.0   0.8   4.9  14.4  19.8   123.7
GLENWOOD SPRINGS # 2      | 1948-2010 |  16.9   9.4   6.4   1.7   0.2   0.0   0.0   0.0   0.0   0.7   5.4  15.0    55.7
GOULD 4 SE SFSP           | 2000-2010 |  25.7  25.3  25.6  24.8  13.8   2.2   0.0   0.0   2.3  10.7  25.4  26.2   182.0
GRAND JUNCTION WALKER     | 1948-2010 |   6.4   3.7   3.3   0.9   0.1   0.0   0.0   0.0   0.0   0.5   2.4   5.2    22.5
GRAND JUNCTION 6 ESE      | 1962-2010 |   3.3   1.8   1.6   0.3   0.0   0.0   0.0   0.0   0.0   0.2   1.3   3.8    12.3
GRAND LAKE 1 NW           | 1948-2010 |  29.5  21.3  18.9  16.5   4.7   0.4   0.0   0.0   1.0   6.0  19.0  27.3   144.6
GRAND LAKE 6 SSW          | 1948-2010 |  15.5  12.2  12.0   7.6   2.0   0.3   0.0   0.0   1.1   1.8   8.0  16.7    77.2
GRAND VALLEY              | 1965-1981 |  11.6   4.6   1.8   0.7   0.1   0.0   0.0   0.0   0.1   0.2   2.7  11.4    33.2
GRANT                     | 1963-2010 |   9.2  10.7  18.4  15.3   5.7   0.8   0.0   0.0   2.3   8.4  12.0  12.9    95.7
GREAT SAND DUNES N M      | 1950-2010 |   6.7   5.1   8.1   6.1   1.3   0.0   0.0   0.0   0.1   2.7   4.6   5.8    40.5
GREELEY                   | 1948-1967 |   3.0   1.6   5.6   2.5   0.1   0.0   0.0   0.0   0.2   0.4   1.8   1.9    17.1
GREELEY UNC               | 1967-2010 |   5.8   4.2   7.4   4.8   0.8   0.0   0.0   0.0   0.6   3.1   6.7   6.5    39.9
GREEN MOUNTAIN DAM        | 1948-2010 |  13.5  11.3  13.1   6.9   1.7   0.1   0.0   0.0   0.2   2.4   9.8  13.0    72.0
GROSS RESERVOIR           | 1978-2010 |  10.8  11.5  24.3  20.3   4.7   0.0   0.0   0.0   1.5   7.2  14.4  14.6   109.3
GROVER 10 W               | 1948-1970 |   5.7   4.0   8.5   5.9   0.5   0.0   0.0   0.0   0.1   2.6   5.0   3.5    35.8
GUFFEY 10 SE              | 1950-2006 |   6.6   8.6  14.3  11.4   3.4   0.2   0.0   0.0   1.4   5.7   8.0   8.8    68.4
GUNNISON 1 N              | 1948-2010 |  12.5   9.5   6.5   3.3   0.6   0.0   0.0   0.0   0.1   1.3   6.1  10.8    50.7
HAMILTON                  | 1948-2007 |  12.6  10.4   8.6   3.4   0.4   0.1   0.0   0.0   0.2   1.9   6.8  11.7    56.1
HARMON RANCH              | 1948-1959 |   4.6   2.7   5.9   1.6   0.1   0.1   0.0   0.0   0.0   0.1   2.9   2.3    20.3
HARTSEL                   | 1948-1966 |   5.8   3.3   4.2   6.1   4.7   0.3   0.0   0.0   0.0   2.0   4.5   6.4    37.3
HASWELL                   | 1948-2010 |   4.0   4.0   5.6   3.0   0.2   0.0   0.0   0.0   0.1   1.6   2.9   4.1    25.5
HAWTHORNE                 | 1948-1976 |  13.1  15.0  20.9  13.2   1.6   0.0   0.0   0.0   0.6   3.9  11.6  10.9    90.8
HAYDEN                    | 1948-2010 |  26.0  18.7  14.4   8.2   0.9   0.1   0.0   0.0   0.6   4.5  15.3  25.0   113.7
HERMIT 7 ESE              | 1948-2010 |  10.7   8.7  11.9   8.2   2.0   0.0   0.0   0.0   0.1   4.7   9.2  11.9    67.4
HOHNHOLZ RANCH            | 1985-2010 |  12.2  13.7  17.8  17.3   7.9   0.8   0.0   0.0   2.1   8.8  12.5  13.7   106.8
HOLLY                     | 1948-2009 |   4.5   3.4   4.2   1.2   0.0   0.0   0.0   0.0   0.0   0.4   2.5   3.8    20.0
HOLYOKE                   | 1948-2010 |   5.5   4.8   7.6   3.2   0.2   0.0   0.0   0.0   0.1   1.7   4.8   4.9    32.8
HOT SULPHUR SPRINGS 2 S   | 1953-1981 |  16.3  11.5  13.7   9.9   1.6   0.0   0.0   0.0   1.5   4.3  10.4  14.7    83.9
HOURGLASS RESERVOIR       | 1988-2010 |  15.6  15.0  28.6  29.3  11.7   1.8   0.0   0.0   3.3  12.2  16.8  17.2   151.5
HUGO                      | 1948-2010 |   2.4   2.4   3.9   4.3   0.3   0.0   0.0   0.0   0.2   1.7   2.7   3.7    21.6
IDAHO SPRINGS             | 1948-1974 |   6.9   8.9  12.7  16.3   4.2   0.2   0.0   0.0   2.8   6.5   9.2   8.8    76.5
IDALIA 4 NNE              | 1948-2010 |   5.2   3.7   6.5   3.3   0.4   0.0   0.0   0.0   0.2   1.4   3.4   3.7    27.8
IGNACIO 1 N               | 1948-1993 |   9.5   6.1   3.9   1.1   0.0   0.0   0.0   0.0   0.0   0.3   1.4   6.2    28.5
IGNACIO 8 E               | 2001-2010 |   9.8  10.8   3.4   0.9   0.0   0.0   0.0   0.0   0.0   0.0   2.2   9.0    36.1
INDEPENDENCE PASS 5 SW    | 1948-1980 |  50.1  38.6  58.7  45.0  20.5   3.7   0.0   0.0   4.9  19.7  43.8  52.4   337.4
INTER CANYON              | 1978-2010 |  14.2  15.8  30.6  24.4   5.7   0.0   0.0   0.0   1.9   8.5  19.1  19.3   139.5
JOES 2 SE                 | 1948-2010 |   5.5   3.4   4.1   3.6   0.6   0.0   0.0   0.0   0.5   2.3   4.6   5.0    29.6
JOHN MARTIN DAM           | 1948-2010 |   1.7   1.1   2.2   0.1   0.0   0.0   0.0   0.0   0.0   0.1   0.9   0.9     7.0
JONES PASS 2 E            | 1961-1973 |  28.1  25.3  27.5  29.7  14.8   4.9   0.0   0.1   6.8  14.9  29.2  27.4   208.7
JULESBURG                 | 1948-2010 |   4.9   3.3   5.3   1.9   0.1   0.0   0.0   0.0   0.0   0.9   3.7   4.2    24.3
KARVAL                    | 1948-2010 |   3.3   1.9   3.7   1.8   0.3   0.0   0.0   0.0   0.1   0.9   2.6   3.0    17.6
KASSLER                   | 1948-2010 |  10.2  10.5  15.7   9.8   0.6   0.0   0.0   0.0   0.9   4.0  10.3  12.5    74.5
KAUFFMAN 4 SSE            | 1948-1987 |   4.6   2.6   8.9   6.2   0.5   0.0   0.0   0.0   0.2   1.7   4.0   4.1    32.8
KIM 15 NNE                | 1948-2010 |   6.5   4.8   8.5   5.4   1.2   0.0   0.0   0.0   0.3   3.5   5.2   7.4    42.8
KIM 10 SSE                | 1988-2010 |   4.5   3.2   6.1   4.2   1.5   0.0   0.0   0.0   0.0   1.8   3.3   5.2    29.8
KIOWA 4 SW                | 1956-1966 |   9.0  11.6  14.0  12.8   3.7   0.0   0.0   0.0   4.4   4.3   6.3   7.0    73.1
KIT CARSON 6 SE           | 1948-2010 |   2.9   2.5   3.3   1.9   0.2   0.0   0.0   0.0   0.1   0.5   2.8   3.3    17.5
KIT CARSON 9 NNE          | 1996-2010 |   2.5   3.3   3.0   0.8   0.0   0.0   0.0   0.0   0.0   1.8   1.1   7.1    19.6
KREMMLING                 | 1948-2010 |  10.6   8.4   7.2   4.4   0.8   0.1   0.0   0.0   0.1   2.3   7.0   9.7    50.6
LA JUNTA 4 NNE            | 1948-2010 |   4.6   4.2   5.8   2.4   0.3   0.0   0.0   0.0   0.0   1.0   3.0   3.8    25.1
LA JUNTA 1 S              | 1995-2010 |   7.5   4.9   6.7   1.7   0.0   0.0   0.0   0.0   0.0   3.0   2.1   9.9    35.8
LA JUNTA 20 S             | 1982-2010 |   4.3   3.9   4.8   1.9   0.3   0.0   0.0   0.0   0.1   1.3   3.2   6.7    26.5
LAKE CITY                 | 1948-2010 |  12.3  10.5  13.6   9.7   3.4   0.2   0.0   0.0   0.7   5.1  12.4  14.1    82.0
LAKE GEORGE 8 SW          | 1948-2010 |   5.6   6.2  12.5  10.6   2.7   0.2   0.0   0.0   1.2   5.2   6.2   7.8    58.2
LAKE MORAINE              | 1948-1963 |  10.5  12.3  24.0  35.4  24.6   1.4   0.1   0.0   0.7   7.4  12.8   7.8   137.0
